epoch	p920	p921	p922
1788095018.237	0/0	0/0	0/0
1788095018.279	0/0	0/0	0/0
1788095018.341	0/0	0/0	0/0
1788095018.382	0/0	0/0	0/0
1788095018.425	0/0	0/0	0/0
1788095018.467	0/0	0/0	0/0
1788095018.508	0/0	0/0	0/0
1788095018.551	0/0	0/0	0/0
1788095018.592	0/0	0/0	0/0
1788095018.633	0/0	0/0	0/0
1788095018.673	0/0	0/0	0/0
1788095018.712	0/0	0/0	0/0
1788095018.747	0/0	0/0	0/0
1788095018.777	0/0	0/0	0/0
1788095018.804	0/0	0/0	0/0
1788095018.834	0/0	0/0	0/0
1788095018.865	0/0	0/0	0/0
1788095018.891	0/0	0/0	0/0
1788095018.915	0/0	0/0	0/0
1788095018.943	0/0	0/0	0/0
1788095018.971	0/0	0/0	0/0
1788095018.995	0/0	0/0	0/0
1788095019.022	0/0	0/0	0/0
1788095019.066	0/0	0/0	0/0
1788095019.107	0/0	0/0	0/0
1788095019.153	0/0	0/0	0/0
1788095019.194	0/0	0/0	0/0
1788095019.243	0/0	0/0	0/0
1788095019.295	0/0	0/0	0/0
1788095019.353	0/0	0/0	0/0
1788095019.395	0/0	0/0	0/0
1788095019.438	0/0	0/0	0/0
1788095019.481	0/0	0/0	0/0
1788095019.523	0/0	0/0	0/0
1788095019.566	0/0	0/0	0/0
1788095019.610	0/0	0/0	0/0
1788095019.651	0/0	0/0	0/0
1788095019.694	0/0	0/0	0/0
1788095019.735	0/0	0/0	0/0
1788095019.776	0/0	0/0	0/0
1788095019.817	0/0	0/0	0/0
1788095019.857	0/0	0/0	0/0
1788095019.897	0/0	0/0	0/0
1788095019.935	0/0	0/0	0/0
1788095019.972	0/0	0/0	0/0
1788095020.007	0/0	0/0	0/0
1788095020.037	0/0	0/0	0/0
1788095020.068	0/0	0/0	0/0
1788095020.101	0/0	0/0	0/0
1788095020.138	0/0	0/0	0/0
1788095020.176	0/0	0/0	0/0
1788095020.216	0/0	0/0	0/0
1788095020.258	0/0	0/0	0/0
1788095020.300	0/0	0/0	0/0
1788095020.368	0/0	0/0	0/0
1788095020.417	0/0	0/0	0/0
1788095020.460	0/0	0/0	0/0
1788095020.501	0/0	0/0	0/0
1788095020.545	0/0	0/0	0/0
1788095020.591	0/0	0/0	0/0
1788095020.638	0/0	0/0	0/0
1788095020.680	0/0	0/0	0/0
1788095020.723	0/0	0/0	0/0
1788095020.764	0/0	0/0	0/0
1788095020.805	0/0	0/0	0/0
1788095020.848	0/0	0/0	0/0
1788095020.890	0/0	0/0	0/0
1788095020.932	0/0	0/0	0/0
1788095020.974	0/0	0/0	0/0
1788095021.014	0/0	0/0	0/0
1788095021.061	0/0	0/0	0/0
