rep	prio	sample	t_since_post_ms	req_ms	n_entries	n_phantom	n_real
3	913	37	1628.8	32.6	1283	1	0
3	913	38	1671.5	34.4	1283	1	0
3	913	39	1711.9	33.2	1283	1	0
3	913	40	1753.9	33.7	1283	1	0
3	913	41	1795.2	33.1	1283	1	0
3	913	42	1836.7	33.8	1283	1	0
3	913	43	1877.8	33.7	1283	1	0
3	913	44	1919.1	33.3	1283	1	0
3	913	45	1959.4	32.7	1283	1	0
3	913	46	2000.5	34.9	1283	1	0
3	913	47	2037.4	31.2	1283	1	0
3	913	48	2074.8	31.5	1283	1	0
3	913	49	2112.0	31.5	1283	1	0
3	913	50	2149.0	31.2	1283	1	0
3	913	51	2219.7	63.1	1283	1	0
3	913	52	2261.5	34.3	1283	1	0
3	913	53	2301.9	33.8	1283	1	0
3	913	54	2339.2	31.5	1283	1	0
3	913	55	2378.3	32.3	1283	1	0
3	913	56	2416.9	32.3	1283	1	0
3	913	57	2454.0	31.4	1283	1	0
3	913	58	2492.3	32.5	1283	1	0
3	913	59	2535.7	37.6	1283	1	0
3	913	60	2574.4	32.9	1283	1	0
3	913	61	2612.4	32.2	1283	1	0
3	913	62	2650.6	32.5	1283	1	0
3	913	63	2688.6	32.5	1283	1	0
3	913	64	2723.0	29.3	1283	1	0
3	913	65	2753.5	25.7	1283	1	0
3	913	66	2780.8	23.1	1283	1	0
3	913	67	2832.4	45.0	1283	1	0
3	913	68	2874.8	34.0	1283	1	0
3	913	69	2915.2	33.1	1283	1	0
3	913	70	2956.1	32.7	1283	1	0
3	913	71	2998.0	32.9	1283	1	0
3	913	72	3038.0	32.8	1283	1	0
3	913	73	3582.8	38.3	1283	1	0
3	913	74	4127.1	38.0	1283	1	0
3	913	75	4674.7	39.0	1283	1	0
3	913	76	5217.0	34.8	1283	1	0
3	913	77	5763.3	39.4	1283	1	0
3	913	78	6312.9	42.5	1282	0	0
3	913	79	6858.9	38.2	1282	0	0
3	913	80	7401.0	35.6	1282	0	0
3	913	81	7941.1	34.0	1282	0	0
3	913	82	8482.5	33.8	1282	0	0
3	913	83	9022.7	33.7	1282	0	0
3	913	84	9565.6	36.7	1282	0	0
3	913	85	10106.2	34.6	1282	0	0
3	913	86	10652.9	40.5	1282	0	0
3	913	87	11199.9	40.8	1282	0	0
3	913	88	11744.7	36.6	1282	0	0
3	913	89	12288.6	37.4	1282	0	0
3	913	90	12842.3	36.8	1282	0	0
3	913	91	13384.9	36.0	1282	0	0
3	913	92	13932.6	39.8	1282	0	0
3	913	93	14475.8	36.3	1282	0	0
3	913	94	15019.2	37.1	1282	0	0
3	913	95	15566.5	37.8	1282	0	0
3	913	96	16117.1	42.0	1282	0	0
3	913	97	16670.6	44.4	1282	0	0
3	913	98	17220.3	40.4	1282	0	0
3	913	99	17762.9	35.0	1282	0	0
4	914	0	44.0	38.6	1283	1	0
4	914	1	87.3	36.1	1283	1	0
4	914	2	156.3	60.4	1283	1	0
4	914	3	197.3	33.0	1283	1	0
4	914	4	238.6	33.1	1283	1	0
4	914	5	279.5	33.1	1283	1	0
4	914	6	324.3	34.5	1283	1	0
4	914	7	374.0	38.6	1283	1	0
4	914	8	419.4	38.7	1283	1	0
4	914	9	463.2	37.9	1283	1	0
4	914	10	507.8	37.4	1283	1	0
4	914	11	550.2	34.0	1283	1	0
4	914	12	588.6	32.4	1283	1	0
4	914	13	627.9	33.5	1283	1	0
4	914	14	671.7	33.1	1283	1	0
4	914	15	712.5	34.1	1283	1	0
4	914	16	756.1	32.9	1283	1	0
4	914	17	805.1	38.6	1283	1	0
4	914	18	848.8	33.9	1283	1	0
4	914	19	891.5	35.8	1283	1	0
4	914	20	936.8	36.3	1283	1	0
4	914	21	977.4	33.3	1283	1	0
4	914	22	1018.9	33.8	1283	1	0
4	914	23	1060.2	33.4	1283	1	0
4	914	24	1120.8	53.0	1283	1	0
4	914	25	1161.0	33.0	1283	1	0
4	914	26	1202.0	33.1	1283	1	0
4	914	27	1243.3	33.2	1283	1	0
4	914	28	1283.5	33.0	1283	1	0
4	914	29	1324.1	33.2	1283	1	0
4	914	30	1364.9	32.9	1283	1	0
4	914	31	1406.4	33.2	1283	1	0
4	914	32	1448.3	34.0	1283	1	0
4	914	33	1489.2	33.5	1283	1	0
4	914	34	1529.8	33.0	1283	1	0
4	914	35	1573.1	35.7	1283	1	0
4	914	36	1623.9	41.5	1283	1	0
4	914	37	1668.9	37.1	1283	1	0
4	914	38	1710.7	34.5	1283	1	0
4	914	39	1748.4	31.9	1283	1	0
4	914	40	1786.2	32.1	1283	1	0
4	914	41	1832.7	40.3	1283	1	0
4	914	42	1875.3	33.6	1283	1	0
4	914	43	1916.3	33.7	1283	1	0
4	914	44	1958.7	34.5	1283	1	0
4	914	45	2000.4	34.0	1283	1	0
4	914	46	2057.3	47.1	1283	1	0
4	914	47	2132.7	65.4	1283	1	0
4	914	48	2181.3	35.1	1283	1	0
4	914	49	2229.9	36.8	1283	1	0
4	914	50	2272.0	34.1	1283	1	0
4	914	51	2316.3	38.2	1283	1	0
4	914	52	2357.7	35.5	1282	0	0
4	914	53	2400.0	31.9	1282	0	0
4	914	54	2439.6	32.8	1282	0	0
4	914	55	2478.1	32.6	1282	0	0
4	914	56	2518.0	32.7	1282	0	0
4	914	57	2561.7	33.5	1282	0	0
4	914	58	2604.9	36.1	1282	0	0
4	914	59	2643.4	32.7	1282	0	0
4	914	60	2685.9	32.8	1282	0	0
4	914	61	2729.9	35.4	1282	0	0
4	914	62	2769.5	33.2	1282	0	0
4	914	63	2807.6	32.3	1282	0	0
4	914	64	2845.5	32.4	1282	0	0
4	914	65	2878.5	28.2	1282	0	0
4	914	66	2920.9	36.0	1282	0	0
4	914	67	2963.5	36.7	1282	0	0
4	914	68	3001.6	32.2	1282	0	0
4	914	69	3551.2	43.4	1282	0	0
4	914	70	4144.1	83.7	1282	0	0
4	914	71	4689.9	38.4	1282	0	0
4	914	72	5239.5	41.9	1282	0	0
4	914	73	5783.0	35.8	1282	0	0
4	914	74	6328.4	36.6	1282	0	0
4	914	75	6874.1	37.7	1282	0	0
4	914	76	7416.5	35.9	1282	0	0
4	914	77	7959.5	36.9	1282	0	0
4	914	78	8511.4	41.4	1282	0	0
4	914	79	9069.9	49.7	1282	0	0
4	914	80	9618.0	40.6	1282	0	0
4	914	81	10163.7	38.8	1282	0	0
4	914	82	10710.8	38.8	1282	0	0
4	914	83	11262.0	40.9	1282	0	0
4	914	84	11810.0	40.7	1282	0	0
4	914	85	12355.6	38.2	1282	0	0
4	914	86	12905.7	39.1	1282	0	0
4	914	87	13451.8	38.0	1282	0	0
4	914	88	13999.9	40.6	1282	0	0
4	914	89	14545.9	37.2	1282	0	0
4	914	90	15091.6	38.4	1282	0	0
4	914	91	15639.6	41.5	1282	0	0
4	914	92	16185.2	38.3	1282	0	0
4	914	93	16730.4	37.3	1282	0	0
4	914	94	17274.8	36.7	1282	0	0
4	914	95	17819.3	36.5	1282	0	0
5	915	0	43.3	37.3	1283	1	0
5	915	1	84.5	33.7	1283	1	0
5	915	2	125.5	33.0	1283	1	0
5	915	3	165.7	32.8	1283	1	0
5	915	4	206.7	33.2	1283	1	0
5	915	5	248.1	34.1	1283	1	0
5	915	6	292.7	33.4	1283	1	0
5	915	7	337.0	36.5	1283	1	0
5	915	8	378.9	33.3	1283	1	0
5	915	9	416.9	32.2	1283	1	0
5	915	10	455.2	32.4	1283	1	0
5	915	11	492.5	31.5	1283	1	0
5	915	12	531.1	32.7	1283	1	0
5	915	13	568.8	31.8	1283	1	0
5	915	14	608.6	31.9	1283	1	0
5	915	15	651.8	33.3	1283	1	0
5	915	16	699.7	41.0	1283	1	0
5	915	17	743.0	33.0	1283	1	0
5	915	18	803.1	52.1	1283	1	0
5	915	19	849.5	39.6	1283	1	0
5	915	20	891.2	34.5	1283	1	0
5	915	21	934.4	35.9	1283	1	0
5	915	22	974.7	32.9	1283	1	0
5	915	23	1015.7	33.5	1283	1	0
5	915	24	1056.7	33.0	1283	1	0
5	915	25	1097.7	33.5	1283	1	0
5	915	26	1140.8	35.8	1283	1	0
5	915	27	1193.8	41.1	1283	1	0
5	915	28	1231.9	32.2	1283	1	0
5	915	29	1284.5	45.1	1283	1	0
5	915	30	1331.8	37.9	1283	1	0
5	915	31	1383.8	44.2	1283	1	0
5	915	32	1435.5	44.1	1283	1	0
5	915	33	1475.4	32.7	1283	1	0
5	915	34	1519.6	36.3	1283	1	0
5	915	35	1566.9	38.9	1283	1	0
5	915	36	1610.6	37.4	1283	1	0
5	915	37	1660.7	39.2	1283	1	0
5	915	38	1711.7	40.8	1283	1	0
5	915	39	1765.3	42.3	1283	1	0
5	915	40	1842.2	65.8	1283	1	0
5	915	41	1885.8	36.9	1283	1	0
5	915	42	1940.2	43.6	1283	1	0
5	915	43	1986.3	39.4	1283	1	0
5	915	44	2030.6	38.4	1283	1	0
5	915	45	2080.6	44.2	1283	1	0
5	915	46	2121.1	34.5	1283	1	0
5	915	47	2166.4	38.3	1283	1	0
5	915	48	2208.6	33.5	1283	1	0
5	915	49	2256.1	37.2	1283	1	0
5	915	50	2299.6	36.9	1283	1	0
5	915	51	2340.4	34.1	1283	1	0
5	915	52	2382.5	35.1	1283	1	0
5	915	53	2424.5	33.3	1283	1	0
5	915	54	2467.3	33.6	1283	1	0
5	915	55	2511.1	34.3	1283	1	0
5	915	56	2553.6	34.5	1283	1	0
5	915	57	2593.9	32.9	1283	1	0
5	915	58	2638.7	33.3	1283	1	0
5	915	59	2683.1	36.2	1283	1	0
5	915	60	2727.2	33.4	1283	1	0
5	915	61	2809.7	74.2	1283	1	0
5	915	62	2850.5	32.9	1283	1	0
5	915	63	2893.6	33.5	1283	1	0
5	915	64	2934.3	32.8	1283	1	0
5	915	65	2979.8	37.9	1283	1	0
5	915	66	3026.9	34.6	1283	1	0
5	915	67	3580.2	42.2	1283	1	0
5	915	68	4129.4	41.8	1283	1	0
5	915	69	4679.8	42.1	1283	1	0
5	915	70	5221.9	35.5	1283	1	0
5	915	71	5769.6	37.4	1283	1	0
5	915	72	6321.9	43.3	1282	0	0
5	915	73	6867.0	37.4	1282	0	0
5	915	74	7412.2	37.7	1282	0	0
5	915	75	7957.8	36.9	1282	0	0
5	915	76	8509.1	39.9	1282	0	0
5	915	77	9055.1	37.6	1282	0	0
5	915	78	9599.9	37.1	1282	0	0
5	915	79	10144.2	36.6	1282	0	0
5	915	80	10689.4	37.0	1282	0	0
5	915	81	11234.5	37.4	1282	0	0
5	915	82	11815.8	72.2	1282	0	0
5	915	83	12359.6	36.4	1282	0	0
5	915	84	12914.7	47.6	1282	0	0
5	915	85	13460.4	39.6	1282	0	0
5	915	86	14010.0	43.4	1282	0	0
5	915	87	14562.3	41.3	1282	0	0
5	915	88	15108.5	38.5	1282	0	0
5	915	89	15652.4	35.9	1282	0	0
5	915	90	16198.9	39.2	1282	0	0
5	915	91	16741.6	35.5	1282	0	0
5	915	92	17288.5	37.7	1282	0	0
5	915	93	17829.5	34.3	1282	0	0
6	916	0	42.1	36.8	1283	1	0
6	916	1	80.7	32.7	1283	1	0
6	916	2	118.8	32.2	1283	1	0
6	916	3	157.3	32.6	1283	1	0
