t_since_post_s	southbound	kernel_view
5.097	True	phantom
5.101	True	phantom
5.105	True	phantom
5.110	True	phantom
5.114	True	phantom
5.118	True	phantom
5.123	True	phantom
5.127	True	phantom
5.131	True	phantom
5.135	True	phantom
5.140	True	phantom
5.143	True	phantom
5.148	True	phantom
5.152	True	phantom
5.156	True	phantom
5.160	True	phantom
5.165	True	phantom
5.169	True	phantom
5.174	True	phantom
5.178	True	phantom
5.182	True	phantom
5.187	True	phantom
5.191	True	phantom
5.195	True	phantom
5.201	True	phantom
5.205	True	phantom
5.210	True	phantom
5.214	True	phantom
5.218	True	phantom
5.222	True	phantom
5.226	True	phantom
5.230	True	phantom
5.234	True	phantom
5.238	True	phantom
5.243	True	phantom
5.247	True	phantom
5.252	True	phantom
5.256	True	phantom
5.260	True	phantom
5.264	True	phantom
5.268	True	phantom
5.273	True	phantom
5.277	True	phantom
5.281	True	phantom
5.285	True	phantom
5.289	True	phantom
5.293	True	phantom
5.297	True	phantom
5.301	True	phantom
5.305	True	phantom
5.309	True	phantom
5.313	True	phantom
5.317	True	phantom
5.321	True	phantom
5.324	True	phantom
5.328	True	phantom
5.333	True	phantom
5.337	True	phantom
5.341	True	phantom
5.345	True	phantom
5.349	True	phantom
5.353	True	phantom
5.357	True	phantom
5.361	True	phantom
5.365	True	phantom
5.370	True	phantom
5.374	True	phantom
5.378	True	phantom
5.382	True	phantom
5.387	True	phantom
5.391	True	phantom
5.395	True	phantom
5.399	True	phantom
5.403	True	phantom
5.407	True	phantom
5.411	True	phantom
5.415	True	phantom
5.420	True	phantom
5.423	True	phantom
5.427	True	phantom
5.431	True	phantom
5.435	True	phantom
5.439	True	phantom
5.443	True	phantom
5.446	True	phantom
5.451	True	phantom
5.455	True	phantom
5.458	True	phantom
5.462	True	phantom
5.467	True	phantom
5.473	True	phantom
5.479	True	phantom
5.484	True	phantom
5.489	True	phantom
5.495	True	phantom
5.500	True	phantom
5.505	True	phantom
5.509	True	phantom
5.513	True	phantom
5.518	True	phantom
5.522	True	phantom
5.527	True	phantom
5.531	True	phantom
5.535	True	phantom
5.540	True	phantom
5.544	True	phantom
5.548	True	phantom
5.553	True	phantom
5.557	True	phantom
5.561	True	phantom
5.565	True	phantom
5.569	True	phantom
5.573	True	phantom
5.578	True	phantom
5.582	True	phantom
5.586	True	phantom
5.590	True	phantom
5.594	True	phantom
5.598	True	phantom
5.603	True	phantom
5.607	True	phantom
5.611	True	phantom
5.616	True	phantom
5.620	True	phantom
5.625	True	phantom
5.629	True	phantom
5.633	True	phantom
5.638	True	phantom
5.642	True	phantom
5.646	True	phantom
5.652	True	phantom
5.656	True	phantom
5.660	True	phantom
5.665	True	phantom
5.669	True	phantom
5.674	True	phantom
5.679	True	phantom
5.684	True	phantom
5.689	True	phantom
5.694	True	phantom
5.699	True	phantom
5.704	True	phantom
5.709	True	phantom
5.713	True	phantom
5.718	True	phantom
5.723	True	phantom
5.727	True	phantom
5.733	True	phantom
