-----------------------------------------------------------
Server listening on 5201 (test #1)
-----------------------------------------------------------
Accepted connection from 10.0.0.19, port 52744
[  8] local 10.0.0.51 port 5201 connected to 10.0.0.19 port 50167
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  8] 153.00-154.00 sec   191 KBytes  1.57 Mbits/sec  6.373 ms  132/272 (49%)  
[  8] 154.00-155.00 sec   174 KBytes  1.42 Mbits/sec  6.097 ms  317/444 (71%)  
[  8] 155.00-156.00 sec   170 KBytes  1.39 Mbits/sec  3.848 ms  268/392 (68%)  
[  8] 156.00-157.00 sec   208 KBytes  1.70 Mbits/sec  4.664 ms  348/500 (70%)  
[  8] 157.00-158.00 sec   163 KBytes  1.33 Mbits/sec  5.412 ms  319/438 (73%)  
[  8] 158.00-159.00 sec   191 KBytes  1.57 Mbits/sec  5.933 ms  347/487 (71%)  
[  8] 159.00-160.00 sec   187 KBytes  1.53 Mbits/sec  5.467 ms  339/476 (71%)  
[  8] 160.00-161.00 sec   245 KBytes  2.00 Mbits/sec  4.531 ms  286/465 (62%)  
[  8] 161.00-162.00 sec   178 KBytes  1.46 Mbits/sec  5.325 ms  324/454 (71%)  
[  8] 162.00-163.00 sec  93.0 KBytes   762 Kbits/sec  9.473 ms  193/261 (74%)  
[  8] 163.00-164.00 sec  80.7 KBytes   661 Kbits/sec  17.832 ms  639/698 (92%)  
[  8] 164.00-165.00 sec   250 KBytes  2.05 Mbits/sec  9.606 ms  248/431 (58%)  
[  8] 165.00-166.00 sec   122 KBytes   997 Kbits/sec  10.117 ms  387/476 (81%)  
[  8] 166.00-167.00 sec   196 KBytes  1.60 Mbits/sec  4.293 ms  290/433 (67%)  
[  8] 167.00-168.00 sec   159 KBytes  1.30 Mbits/sec  12.235 ms  217/333 (65%)  
[  8] 168.00-169.00 sec   208 KBytes  1.70 Mbits/sec  6.252 ms  419/571 (73%)  
[  8] 169.00-170.00 sec   167 KBytes  1.37 Mbits/sec  3.771 ms  243/365 (67%)  
[  8] 170.00-171.00 sec   150 KBytes  1.23 Mbits/sec  8.119 ms  327/437 (75%)  
[  8] 171.00-172.00 sec   254 KBytes  2.08 Mbits/sec  4.288 ms  244/430 (57%)  
[  8] 172.00-173.00 sec   269 KBytes  2.21 Mbits/sec  4.788 ms  273/470 (58%)  
[  8] 173.00-174.00 sec   205 KBytes  1.68 Mbits/sec  4.373 ms  342/492 (70%)  
[  8] 174.00-175.00 sec   271 KBytes  2.22 Mbits/sec  3.427 ms  204/402 (51%)  
[  8] 175.00-176.00 sec   228 KBytes  1.87 Mbits/sec  3.389 ms  261/428 (61%)  
[  8] 176.00-177.00 sec   189 KBytes  1.55 Mbits/sec  4.211 ms  348/486 (72%)  
[  8] 177.00-178.00 sec   176 KBytes  1.44 Mbits/sec  6.061 ms  373/502 (74%)  
[  8] 178.00-179.00 sec   182 KBytes  1.49 Mbits/sec  4.627 ms  262/395 (66%)  
[  8] 179.00-180.00 sec   150 KBytes  1.23 Mbits/sec  6.652 ms  367/477 (77%)  
[  8] 180.00-181.00 sec   129 KBytes  1.05 Mbits/sec  10.078 ms  282/376 (75%)  
[  8] 181.00-182.00 sec   139 KBytes  1.14 Mbits/sec  7.544 ms  338/440 (77%)  
[  8] 182.00-183.00 sec   127 KBytes  1.04 Mbits/sec  8.356 ms  287/380 (76%)  
